Drug_Name,DILI-Concern Label,DILI-Risk Level,DILI-Concern Source
1-hexadecanol,Most-DILI-Concern,High,Logistic regression model prediction 
4-aminosalicylic acid,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
4-phenylbutyric acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
7-keto-DHEA,Other-DILI-Concern,Low,Logistic regression model prediction 
abacavir,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
abatacept,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
abciximab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
abemaciclib,Other-DILI-Concern,Low,Logistic regression model prediction 
abiraterone,Most-DILI-Concern,High,Logistic regression model prediction 
acamprosate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acarbose,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
acebutolol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aceclidine,Most-DILI-Concern,High,Logistic regression model prediction 
aceclofenac,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acedapsone,Most-DILI-Concern,High,Logistic regression model prediction 
acefylline,Other-DILI-Concern,Low,Logistic regression model prediction 
aceglutamide,Most-DILI-Concern,High,Logistic regression model prediction 
acemetacin,Other-DILI-Concern,Low,Logistic regression model prediction 
acenocoumarol,Most-DILI-Concern,High,Logistic regression model prediction 
acepromazine,Other-DILI-Concern,Low,Logistic regression model prediction 
acetaminophen,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
acetarsol,Most-DILI-Concern,High,Logistic regression model prediction 
acetazolamide,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
acetohexamide,Other-DILI-Concern,Low,Logistic regression model prediction 
acetohydroxamic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acetophenazine,Most-DILI-Concern,High,Logistic regression model prediction 
acetylcholine,Most-DILI-Concern,High,Logistic regression model prediction 
acetylcholine chloride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acetylcysteine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acexamic acid,Most-DILI-Concern,High,Logistic regression model prediction 
aciclovir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acipimox,Most-DILI-Concern,High,Logistic regression model prediction 
acitazanolast,Other-DILI-Concern,Low,Logistic regression model prediction 
acitretin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
aclarubicin,Most-DILI-Concern,High,Logistic regression model prediction 
aclidinium,Other-DILI-Concern,Low,Logistic regression model prediction 
acriflavine,Other-DILI-Concern,Low,Logistic regression model prediction 
acriflavinium,Other-DILI-Concern,Low,Logistic regression model prediction 
acrivastine,Other-DILI-Concern,Low,Logistic regression model prediction 
actarit,Other-DILI-Concern,Low,Logistic regression model prediction 
actinomycin d,Most-DILI-Concern,High,Logistic regression model prediction 
acyclovir,Other-DILI-Concern,Low,Logistic regression model prediction 
adalimumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
adapalene,Other-DILI-Concern,Low,Logistic regression model prediction 
adefovir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ademetionine,Most-DILI-Concern,High,Logistic regression model prediction 
adenosine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
adiphenine,Most-DILI-Concern,High,Logistic regression model prediction 
adrafinil,Most-DILI-Concern,High,Logistic regression model prediction 
adrenalone,Most-DILI-Concern,High,Logistic regression model prediction 
afatinib,Other-DILI-Concern,Low,Logistic regression model prediction 
afloqualone,Other-DILI-Concern,Low,Logistic regression model prediction 
agalsidase beta,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
agomelatine,Most-DILI-Concern,High,Logistic regression model prediction 
ajmaline,Most-DILI-Concern,High,Logistic regression model prediction 
alacepril,Other-DILI-Concern,Low,Logistic regression model prediction 
alanine,Most-DILI-Concern,High,Logistic regression model prediction 
alaproclate,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
alatrofloxacin mesylate,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
albendazole,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
albuterol,Other-DILI-Concern,Low,Logistic regression model prediction 
alcaftadine,Most-DILI-Concern,High,Logistic regression model prediction 
alclofenac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
alcuronium,Most-DILI-Concern,High,Logistic regression model prediction 
aldesleukin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alectinib,Most-DILI-Concern,High,Logistic regression model prediction 
alemtuzumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alendronate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alfacalcidol,Other-DILI-Concern,Low,Logistic regression model prediction 
alfaxalone,Other-DILI-Concern,Low,Logistic regression model prediction 
alfentanil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alfuzosin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alglucosidase alfa,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alibendol,Most-DILI-Concern,High,Logistic regression model prediction 
alimemazine,Other-DILI-Concern,Low,Logistic regression model prediction 
aliskiren,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alizapride,Other-DILI-Concern,Low,Logistic regression model prediction 
allantoin,Other-DILI-Concern,Low,Logistic regression model prediction 
allopurinol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
allylestrenol,Most-DILI-Concern,High,Logistic regression model prediction 
almitrine,Most-DILI-Concern,High,Logistic regression model prediction 
almotriptan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alogliptin,Most-DILI-Concern,High,Logistic regression model prediction 
alosetron,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alpidem,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
alprazolam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alprenolol,Most-DILI-Concern,High,Logistic regression model prediction 
alprostadil,Other-DILI-Concern,Low,Logistic regression model prediction 
alteplase,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
althiazide,Most-DILI-Concern,High,Logistic regression model prediction 
altretamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
alverine,Most-DILI-Concern,High,Logistic regression model prediction 
alvimopan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amantadine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ambenonium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ambrisentan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amcinonide,Other-DILI-Concern,Low,Logistic regression model prediction 
amezinium,Most-DILI-Concern,High,Logistic regression model prediction 
amfenac,Most-DILI-Concern,High,Logistic regression model prediction 
amfepramone,Other-DILI-Concern,Low,Logistic regression model prediction 
amidopyrine,Most-DILI-Concern,High,Logistic regression model prediction 
amifampridine,Other-DILI-Concern,Low,Logistic regression model prediction 
amifostine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amikacin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amiloride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amineptine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
aminocaproic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aminoglutethimide,Other-DILI-Concern,Low,Logistic regression model prediction 
aminohippurate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
aminohippuric acid,Other-DILI-Concern,Low,Logistic regression model prediction 
aminophylline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amiodarone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
amisulpride,Other-DILI-Concern,Low,Logistic regression model prediction 
amitriptyline,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
amlexanox,Most-DILI-Concern,High,Logistic regression model prediction 
amlodipine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ammonium chloride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
