drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,DILI Risk Level,DILIConcern source
1-hexadecanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
4-aminosalicylic acid,0.028032037,0.006864989,0.001144165,0.018020595,0.01687643,0.008867277,0.382437071,0.102402746,0.032894737,0.005434783,0.015160183,0.009153318,0.046338673,0.035469108,0.027459954,0.003146453,0.090389016,0.002002288,0,0.028604119,0.010583524,0.000286041,0.023455378,0.097540046,0.001144165,0.000572082,0.005720824,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
7-keto-DHEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
abacavir,0.027546101,0.024868008,0.010176754,0.004284949,0.001912924,0.008646415,0.112785982,0.150126253,0.026933966,0.063509067,0.044609381,0.025250593,0.060830974,0.043920728,0.043155559,0.005585737,0.063891652,0.013620017,0.00099472,0.025480144,0.025480144,0.007498661,0.043614661,0.142627592,0.001147754,0.005356186,0.016145076,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
abatacept,0.007018981,0.014379353,0.000860303,0.004246893,0.001556739,0.01239929,0.058118258,0.239696846,0.005516865,0.016960262,0.148204288,0.08952615,0.033975147,0.008889799,0.082247713,0.026778643,0.056534207,0.001010515,0.012426601,0.013505394,0.008288953,0.003837225,0.052710638,0.053174928,0.002744777,0.026532842,0.018858391,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
abciximab,0.230726993,0.112672963,0.001537448,0.000658906,0.000439271,0.00384362,0.078519657,0.122556556,0.001647266,0.010652317,0.009444322,0.035580936,0.056226664,0.005710521,0.006369427,0.00142763,0.067537887,0.000549089,0.004722161,0.006039974,0.019767186,0.001866901,0.070173512,0.029760597,0.000329453,0.003074896,0.118163848,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
abemaciclib,0.034682081,0.011560694,0,0.001445087,0,0.010597303,0.278420039,0.170038536,0.005780347,0.002890173,0.027938343,0.032273603,0.087186898,0.061175337,0.026493256,0.032755299,0.055876686,0,0.000963391,0.015414258,0.027938343,0.001445087,0.038535645,0.03805395,0.000963391,0.018304432,0.019267823,Other-DILI-Concern,Low,Logistic regression model predictions 
abiraterone,0.016623581,0.033934356,0.00091626,0.003174188,0.005006708,0.007166465,0.070650218,0.228574233,0.021172159,0.001505285,0.041395334,0.066723388,0.114761609,0.042082529,0.044111391,0.051539645,0.054746556,0.000556301,0.006250205,0.019732321,0.024542688,0.003599594,0.03396708,0.025262607,0.002356098,0.039759154,0.039890049,Most-DILI-Concern,High,Logistic regression model predictions 
acamprosate,0.013270142,0.01943128,0.001895735,0.007109005,0.000473934,0.016587678,0.174407583,0.095734597,0.025592417,0.006161137,0.022274882,0.037914692,0.05971564,0.027488152,0.028909953,0.003791469,0.122748815,0.001895735,0.000473934,0.105687204,0.019905213,0.013270142,0.023222749,0.139810427,0.004265403,0.009478673,0.018483412,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
acarbose,0.0148932,0.021164021,0.000195963,0.004115226,0.000783853,0.010973937,0.35920047,0.077993337,0.0409563,0.004115226,0.011365863,0.014305311,0.0632961,0.089555164,0.017636684,0.002939447,0.092690574,0.001371742,0.001763668,0.014109347,0.015089163,0.002939447,0.020184205,0.107975701,0,0.000783853,0.009602195,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
