drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders
1-hexadecanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7-keto-DHEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abemaciclib,0.03468208092485549,0.011560693641618497,0.0,0.001445086705202312,0.0,0.010597302504816955,0.27842003853564545,0.17003853564547206,0.005780346820809248,0.002890173410404624,0.027938342967244702,0.03227360308285164,0.0871868978805395,0.06117533718689788,0.026493256262042388,0.03275529865125241,0.055876685934489405,0.0,0.0009633911368015414,0.015414258188824663,0.027938342967244702,0.001445086705202312,0.038535645472061654,0.038053949903660886,0.0009633911368015414,0.018304431599229287,0.019267822736030827
abiraterone,0.016623580614548904,0.033934356490722864,0.0009162603488334042,0.0031741876370300075,0.005006708334696816,0.007166464871232697,0.07065021761183285,0.22857423345004746,0.02117215877482902,0.0015052848587977356,0.04139533361693773,0.06672338754540397,0.11476160869138388,0.04208252887856278,0.04411139107955103,0.05153964462187899,0.054746555842795905,0.000556300926077424,0.006250204522399293,0.0197323210838051,0.02454268791518047,0.0035995942275598024,0.03396708007460977,0.025262606760692433,0.0023560980398573254,0.03975915442259236,0.03989004875813999
aceclidine,0.0,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0,0.42857142857142855,0.01904761904761905,0.0761904761904762,0.0,0.01904761904761905,0.20952380952380953,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0380952380952381,0.009523809523809525,0.0,0.0,0.02857142857142857
acedapsone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
acefylline,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.20512820512820512,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.1282051282051282,0.02564102564102564,0.0,0.05128205128205128,0.28205128205128205,0.0,0.0,0.02564102564102564
aceglutamide,0.0,0.08782435129740519,0.0,0.00499001996007984,0.0,0.006986027944111776,0.10079840319361277,0.25748502994011974,0.003992015968063872,0.0249500998003992,0.000998003992015968,0.000998003992015968,0.022954091816367265,0.0,0.003992015968063872,0.0,0.14171656686626746,0.0,0.0,0.015968063872255488,0.000998003992015968,0.000998003992015968,0.046906187624750496,0.2315369261477046,0.0,0.0,0.04590818363273453
acemetacin,0.06440071556350627,0.03041144901610018,0.0008944543828264759,0.012522361359570662,0.0008944543828264759,0.0259391771019678,0.2441860465116279,0.07871198568872988,0.02146690518783542,0.01967799642218247,0.012522361359570662,0.01967799642218247,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.0035778175313059034,0.11359570661896243,0.0035778175313059034,0.0,0.044722719141323794,0.04203935599284436,0.006261180679785331,0.046511627906976744,0.12343470483005367,0.0,0.0008944543828264759,0.0259391771019678
acenocoumarol,0.10805369127516778,0.015487867836861126,0.0010325245224574084,0.0026329375322663912,0.0009292720702116675,0.008518327310273618,0.17929788332472896,0.0631905007743934,0.007589055240061951,0.0010841507485802788,0.006350025813113062,0.06716572018585441,0.1591636551368095,0.008053691275167786,0.02333505420753743,0.00123902942694889,0.09189468249870934,0.0017036654620547237,0.0008776458440887972,0.005730511099638617,0.04656685596282912,0.006246773360867321,0.06241610738255034,0.053588022715539495,0.0005162622612287042,0.0008260196179659267,0.07651006711409396
acepromazine,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.07142857142857142,0.0,0.10714285714285714,0.0,0.0,0.03571428571428571,0.17857142857142858,0.0,0.03571428571428571,0.03571428571428571,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.07142857142857142
acetarsol,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0425531914893617,0.2127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0,0.0,0.0,0.0851063829787234,0.0,0.1276595744680851,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.3404255319148936,0.0,0.0,0.0
acetohexamide,0.08433734939759036,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0963855421686747,0.03614457831325301,0.012048192771084338,0.0,0.03614457831325301,0.024096385542168676,0.3373493975903614,0.0,0.0,0.12048192771084337,0.0,0.0,0.03614457831325301,0.03614457831325301,0.0,0.024096385542168676,0.12048192771084337,0.0,0.0,0.012048192771084338
acetohydroxamic acid,0.012195121951219513,0.036585365853658534,0.0,0.0,0.0,0.0,0.08536585365853659,0.13414634146341464,0.0,0.0,0.024390243902439025,0.036585365853658534,0.024390243902439025,0.08536585365853659,0.04878048780487805,0.0,0.15853658536585366,0.0,0.0,0.08536585365853659,0.0,0.0,0.07317073170731707,0.08536585365853659,0.0,0.0,0.10975609756097561
acetophenazine,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.42857142857142855,0.0,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
acetylcholine,0.01707317073170732,0.04878048780487805,0.0,0.0,0.0,0.573170731707317,0.0024390243902439024,0.08780487804878048,0.0024390243902439024,0.004878048780487805,0.05365853658536585,0.07804878048780488,0.03414634146341464,0.0,0.004878048780487805,0.0024390243902439024,0.01951219512195122,0.0,0.02195121951219512,0.0,0.0024390243902439024,0.0,0.012195121951219513,0.004878048780487805,0.0,0.00975609756097561,0.01951219512195122
acexamic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
acipimox,0.004322766570605188,0.020172910662824207,0.0,0.010086455331412104,0.0,0.01729106628242075,0.14121037463976946,0.09654178674351585,0.012968299711815562,0.01729106628242075,0.010086455331412104,0.0,0.011527377521613832,0.012968299711815562,0.02881844380403458,0.0,0.09077809798270893,0.0,0.0,0.021613832853025938,0.001440922190201729,0.004322766570605188,0.027377521613832854,0.33285302593659943,0.0,0.0,0.138328530259366
acitazanolast,0.0,0.01694915254237288,0.0,0.0,0.0,0.4406779661016949,0.0847457627118644,0.03389830508474576,0.0,0.05084745762711865,0.0,0.05084745762711865,0.01694915254237288,0.0,0.0,0.0,0.11864406779661017,0.0,0.0,0.05084745762711865,0.0,0.0,0.01694915254237288,0.11864406779661017,0.0,0.0,0.0
aclarubicin,0.37943262411347517,0.03546099290780142,0.0,0.0,0.0,0.010638297872340425,0.09574468085106383,0.06382978723404255,0.03546099290780142,0.0070921985815602835,0.1276595744680851,0.0,0.08865248226950355,0.014184397163120567,0.0035460992907801418,0.01773049645390071,0.010638297872340425,0.0,0.0,0.0,0.028368794326241134,0.0,0.028368794326241134,0.031914893617021274,0.0,0.0,0.02127659574468085
aclidinium,0.0013711151736745886,0.024680073126142597,0.0005332114564290067,0.0071602681291895185,0.0023613650213284583,0.03663924436319318,0.046770262035344304,0.09255027422303473,0.0009140767824497258,0.007769652650822669,0.042656916514320534,0.16422912858013405,0.045170627666057284,0.012568555758683729,0.022242535039609993,0.014092017062766606,0.06284277879341865,0.0,0.17618829981718465,0.03100243753808653,0.013482632541133455,0.0022090188909201706,0.15790676416819013,0.018205362583790373,0.003808653260207191,0.002742230347349177,0.009902498476538697
acriflavine,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.6785714285714286,0.0,0.0,0.0
acriflavinium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0
acrivastine,0.007936507936507936,0.051587301587301584,0.003968253968253968,0.015873015873015872,0.0,0.031746031746031744,0.11507936507936507,0.1388888888888889,0.003968253968253968,0.023809523809523808,0.01984126984126984,0.031746031746031744,0.027777777777777776,0.0,0.03571428571428571,0.007936507936507936,0.19444444444444445,0.003968253968253968,0.003968253968253968,0.051587301587301584,0.011904761904761904,0.015873015873015872,0.04365079365079365,0.1349206349206349,0.0,0.003968253968253968,0.01984126984126984
