drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,vDILIConcern,SMILES
4-aminosalicylic acid,0.028032036613272308,0.006864988558352402,0.0011441647597254007,0.018020594965675055,0.016876430205949658,0.008867276887871853,0.3824370709382151,0.10240274599542334,0.03289473684210526,0.005434782608695652,0.015160183066361556,0.009153318077803205,0.04633867276887872,0.03546910755148741,0.02745995423340961,0.003146453089244851,0.09038901601830664,0.0020022883295194513,0.0,0.028604118993135013,0.010583524027459957,0.00028604118993135017,0.02345537757437071,0.0975400457665904,0.0011441647597254007,0.0005720823798627003,0.005720823798627002,Most-DILI-Concern,vMost-DILI-Concern,C1=CC(=C(C=C1N)O)C(=O)O
Argipressin,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,No-DILI-Concern,vNo-DILI-Concern,C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
Hetastarch,0.04827586206896552,0.05560344827586207,0.0,0.0008620689655172414,0.0,0.003448275862068965,0.05991379310344828,0.0896551724137931,0.008620689655172414,0.08836206896551724,0.010775862068965518,0.02112068965517241,0.047844827586206895,0.007758620689655172,0.03448275862068965,0.0017241379310344827,0.054310344827586204,0.0017241379310344827,0.0008620689655172414,0.007758620689655172,0.041810344827586214,0.003017241379310345,0.08879310344827586,0.20948275862068969,0.0,0.0,0.11379310344827588,No-DILI-Concern,vNo-DILI-Concern,
Levoleucovorin,0.0902591599642538,0.023458445040214475,0.0013404825737265414,0.00290437890974084,0.0002234137622877569,0.007819481680071492,0.1456657730116175,0.09294012511170688,0.012287756925826631,0.04647006255585344,0.04758713136729222,0.012511170688114387,0.09562109025915996,0.054959785522788206,0.0145218945487042,0.017202859696157282,0.07640750670241286,0.0004468275245755138,0.0002234137622877569,0.004468275245755138,0.015192135835567468,0.0011170688114387846,0.08936550491510277,0.10031277926720286,0.0,0.0013404825737265414,0.045352993744414656,No-DILI-Concern,vNo-DILI-Concern,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
abacavir,0.02754610146147372,0.02486800826383044,0.010176754151044456,0.0042849491162292455,0.0019129237126023415,0.008646415180962583,0.11278598209503406,0.15012625296503174,0.02693396587344097,0.06350906725839774,0.0446093809778866,0.025250593006350908,0.06083097406075446,0.04392072844134976,0.04315555895630882,0.005585737240798837,0.0638916520009182,0.013620016833728672,0.0009947203305532175,0.025480143851863188,0.025480143851863188,0.007498660953401178,0.04361466064733338,0.14262759201163058,0.0011477542275614048,0.005356186395286556,0.01614507613436376,Most-DILI-Concern,vMost-DILI-Concern,C1CC1NC2=NC(=NC3=C2N=CN3C4C[C@H](C=C4)CO)N
abatacept,0.007018981291820292,0.014379352724293325,0.0008603031544448997,0.00424689334972006,0.001556739041376485,0.012399289908507442,0.058118257544722114,0.2396968455551004,0.005516864672948246,0.016960262187628018,0.1482042878601666,0.089526150484774,0.03397514679776048,0.008889799262597297,0.08224771268605763,0.02677864263280076,0.0565342072920934,0.0010105148163321042,0.01242660111975966,0.013505393964222314,0.008288952615048478,0.0038372251809367743,0.052710637716782735,0.05317492830807046,0.0027447767308480127,0.026532841731530792,0.018858391369657244,No-DILI-Concern,vLess-DILI-Concern,
abciximab,0.23072699319130244,0.11267296288161653,0.0015374478365912587,0.000658906215681968,0.0004392708104546453,0.0038436195914781455,0.07851965736876784,0.12255655611684604,0.0016472655392049198,0.010652317153525149,0.009444322424774871,0.03558093564682627,0.0562266637381946,0.005710520535910389,0.006369426751592357,0.0014276301339775973,0.06753788710740173,0.0005490885130683067,0.0047221612123874365,0.006039973643751373,0.019767186470459042,0.0018669009444322426,0.07017351197012958,0.029760597408302218,0.000329453107840984,0.0030748956731825173,0.11816384801229958,No-DILI-Concern,vNo-DILI-Concern,
acamprosate,0.013270142180094787,0.01943127962085308,0.0018957345971563984,0.007109004739336493,0.0004739336492890995,0.016587677725118485,0.17440758293838862,0.09573459715639812,0.02559241706161137,0.006161137440758294,0.022274881516587682,0.03791469194312797,0.05971563981042654,0.02748815165876777,0.028909952606635068,0.003791469194312796,0.12274881516587678,0.0018957345971563984,0.0004739336492890995,0.1056872037914692,0.01990521327014218,0.013270142180094787,0.02322274881516588,0.13981042654028436,0.004265402843601896,0.009478672985781993,0.01848341232227488,Less-DILI-Concern,vLess-DILI-Concern,CC(=O)NCCCS(=O)(=O)O
acarbose,0.014893200078385262,0.021164021164021163,0.0001959631589261219,0.00411522633744856,0.0007838526357044876,0.010973936899862823,0.3592004703115814,0.07799333725259651,0.040956300215559474,0.00411522633744856,0.01136586321771507,0.014305310601606896,0.06329610033313737,0.0895551636292377,0.01763668430335097,0.0029394473838918285,0.09269057417205566,0.0013717421124828533,0.001763668430335097,0.014109347442680775,0.015089163237311385,0.0029394473838918285,0.020184205369390557,0.10797570056829316,0.0,0.0007838526357044876,0.009602194787379972,Most-DILI-Concern,vMost-DILI-Concern,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@@H]([C@@H]([C@H]4O)O)O)CO
acebutolol,0.026230394808004327,0.10600324499729584,0.0040562466197944826,0.007301243915630071,0.0018929150892374254,0.027041644131963218,0.06354786371011358,0.1149269875608437,0.01946998377501352,0.0067604110329908046,0.01703623580313683,0.029745808545159545,0.04434829637641969,0.028123309897241752,0.03650621957815035,0.0021633315305570576,0.09437533802055163,0.003785830178474851,0.010275824770146023,0.04218496484586263,0.020010816657652784,0.016224986479177934,0.051379123850730124,0.15630070308274746,0.0008112493239588968,0.0002704164413196322,0.06922660897782586,Less-DILI-Concern,vLess-DILI-Concern,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
